koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_teq,koi_insol,koi_dor,koi_model_snr,koi_steff,koi_slogg,koi_srad
FALSE POSITIVE,7.544039000,1.1750,6.22200,3.2260e+02,0.194187,0.00393,17.47,0.0731,838.0,116.46,2.280000,14.20,5657.00,4.567,0.8240
CONFIRMED,9.029306890,0.0240,3.14490,1.0198e+03,0.028718,2.66613,2.57,0.0796,757.0,77.75,22.570000,53.90,5349.00,4.526,0.8200
FALSE POSITIVE,10.328035714,0.2810,7.79150,1.6918e+04,0.118805,0.23528,13.28,0.0888,843.0,119.31,10.988000,636.80,5627.00,4.359,1.0240
CONFIRMED,143.206304700,0.3790,8.93020,1.0566e+04,0.094044,1.83449,8.90,0.5336,308.0,2.14,125.800000,138.80,5485.00,4.556,0.8670
CONFIRMED,6.164876000,0.6460,3.26200,5.5800e+01,0.007192,0.69664,0.79,0.0648,1021.0,256.35,11.190000,14.40,5854.00,4.406,1.0120
CONFIRMED,60.324942160,0.2240,6.61880,2.0280e+04,0.128744,2.37656,12.19,0.2998,411.0,6.77,77.040000,347.20,5485.00,4.556,0.8670
CONFIRMED,29.159861500,0.3619,4.80300,4.8800e+02,0.020180,1.92739,1.91,0.1847,524.0,17.85,44.200000,11.60,5485.00,4.556,0.8670
FALSE POSITIVE,1.540397253,1.2250,2.15410,8.1610e+02,0.257087,0.06102,25.69,0.0264,1470.0,1105.68,1.971000,38.80,5663.00,4.530,0.9150
FALSE POSITIVE,2.990254430,0.0140,5.41400,5.8920e+02,0.021279,0.17407,1.70,0.0367,918.0,168.45,4.349000,48.50,4667.00,4.578,0.7310
CONFIRMED,1.594745374,0.5140,1.96040,1.5044e+04,0.115879,1.77544,11.30,0.0258,1539.0,1329.42,6.203000,1009.30,5934.00,4.491,0.8930
CONFIRMED,4.783002698,0.0030,2.33500,1.0087e+03,0.028315,3.45234,2.50,0.0535,886.0,145.48,16.102000,70.60,5170.00,4.574,0.8070
CONFIRMED,20.505889210,0.2600,4.05950,2.1055e+03,0.041039,2.64998,3.41,0.1326,518.0,17.06,38.910000,78.50,4905.00,4.544,0.7610
CONFIRMED,3.340218842,0.4660,1.91040,1.6326e+03,0.037683,3.23586,2.03,0.0348,656.0,43.73,12.400000,71.60,3950.00,4.754,0.4930
FALSE POSITIVE,2.507089906,1.2550,2.00670,1.3392e+03,0.295115,0.11003,30.26,0.0365,1326.0,730.47,3.320000,64.90,5926.00,4.506,0.9390
CONFIRMED,18.649327280,0.0800,4.40560,8.9360e+02,0.027096,1.97596,3.12,0.1390,701.0,57.13,33.120000,46.10,5775.00,4.405,1.0530
CONFIRMED,4.901449760,0.5290,4.16540,1.4070e+02,0.011136,0.37090,1.70,0.0586,1262.0,598.74,7.780000,50.60,5847.00,4.191,1.4020
CONFIRMED,9.751921010,0.9490,4.79300,4.1800e+02,0.024042,0.04400,2.76,0.0902,870.0,135.66,6.050000,28.50,5775.00,4.405,1.0530
CONFIRMED,38.557654600,0.9110,5.79400,9.9300e+02,0.034980,0.19756,4.02,0.2255,550.0,21.71,24.900000,39.70,5775.00,4.405,1.0530
CONFIRMED,3.525632539,0.1200,2.59959,2.2335e+04,0.133720,2.43681,11.58,0.0431,975.0,213.12,11.699000,1996.70,5150.00,4.572,0.7930
CANDIDATE,34.843986440,0.9340,2.93150,4.5236e+03,0.080046,1.86832,7.61,0.1971,511.0,16.10,49.310000,76.80,5509.00,4.482,0.8710
CONFIRMED,7.748094239,0.5170,3.59570,2.4721e+03,0.046615,1.06292,5.52,0.0810,964.0,204.39,15.000000,113.20,5973.00,4.439,1.0850
CONFIRMED,23.967936690,0.4160,3.82700,1.1823e+03,0.031410,3.03325,1.80,0.1322,329.0,2.77,45.200000,27.50,3747.00,4.728,0.5240
CONFIRMED,8.295617380,0.8880,1.34210,8.2430e+02,0.031780,4.18931,1.82,0.0652,469.0,11.39,24.800000,17.90,3747.00,4.728,0.5240
CONFIRMED,8.114374820,0.5730,2.27360,1.5580e+03,0.037204,3.76716,2.10,0.0649,460.0,10.55,23.580000,56.40,3692.00,4.753,0.5170
FALSE POSITIVE,38.036729482,0.5010,4.34617,8.2872e+04,0.270180,6.21385,27.50,0.2252,500.0,14.81,78.037000,1300.00,5575.00,4.521,0.9320
CANDIDATE,4.640900310,1.2800,35.51200,2.4506e+03,0.333559,0.00218,30.09,0.0503,1155.0,421.08,1.354000,296.90,6463.00,4.500,0.8260
FALSE POSITIVE,3.747838198,1.1210,5.06420,6.1600e+02,0.151387,0.00878,13.65,0.0460,1031.0,266.76,1.868000,138.20,5514.00,4.569,0.8260
CONFIRMED,14.749148250,0.1730,6.09950,4.3020e+02,0.018864,0.55575,2.89,0.1221,874.0,137.91,18.560000,107.40,5847.00,4.191,1.4020
CONFIRMED,21.812959960,0.0530,4.37910,1.1754e+03,0.030952,2.39175,3.38,0.1495,639.0,39.33,39.183000,37.80,5601.00,4.410,0.9990
FALSE POSITIVE,7.919369370,0.7330,3.31480,1.5148e+04,0.121984,1.13074,10.34,0.0737,814.0,104.00,15.534000,389.00,5690.00,4.588,0.7760
CANDIDATE,1.028436523,1.5734,1.86060,8.0980e+03,0.673134,0.43236,72.77,0.0197,1947.0,3400.48,2.891000,89.60,6228.00,4.428,0.9900
CONFIRMED,15.375623690,0.6920,3.31690,1.5337e+04,0.121030,2.43887,11.01,0.1121,600.0,30.54,31.240000,166.00,4986.00,4.496,0.8330
CONFIRMED,8.103632710,0.0470,3.16100,8.8790e+02,0.026361,2.33533,2.11,0.0712,687.0,52.82,20.090000,39.30,4861.00,4.574,0.7320
CONFIRMED,4.715108430,0.2580,2.50600,4.1750e+02,0.018268,2.42359,1.46,0.0496,823.0,108.84,14.180000,21.30,4861.00,4.574,0.7320
CONFIRMED,6.365839713,0.5240,2.97210,7.8070e+02,0.026275,1.41102,2.44,0.0659,914.0,165.33,14.460000,70.80,5776.00,4.554,0.8490
FALSE POSITIVE,5.975817540,0.9410,3.06500,9.6240e+02,0.035468,0.14724,3.86,0.0660,1047.0,284.25,6.530000,50.30,6108.00,4.471,0.9970
FALSE POSITIVE,2.446737317,1.2410,4.72110,1.1779e+03,0.278526,0.01691,26.25,0.0351,1261.0,597.19,1.749000,110.20,5764.00,4.548,0.8630
CONFIRMED,3.040330460,0.7360,1.84110,1.0859e+04,0.104023,2.31195,8.99,0.0374,1021.0,257.29,10.410000,568.20,5035.00,4.519,0.7910
CONFIRMED,15.335286750,0.7730,3.89700,3.0814e+03,0.056000,0.81659,5.00,0.1179,610.0,32.67,21.650000,86.60,5251.00,4.581,0.8170
CONFIRMED,7.958253280,0.7060,4.37700,5.0000e+01,0.006915,0.29918,1.06,0.0809,1074.0,314.15,10.010000,14.70,5847.00,4.191,1.4020
CONFIRMED,31.330461350,0.7980,5.17600,5.0738e+03,0.072904,0.70448,6.50,0.1898,481.0,12.61,33.190000,117.20,5251.00,4.581,0.8170
FALSE POSITIVE,3.904342500,0.7090,3.83100,1.6228e+04,0.125229,0.39988,12.28,0.0484,1104.0,351.05,6.856000,323.40,5810.00,4.526,0.8980
FALSE POSITIVE,9.286358079,0.3770,3.49949,4.4791e+04,0.196390,2.67897,17.61,0.0810,796.0,95.03,23.029000,1671.10,5670.00,4.523,0.8210
FALSE POSITIVE,3.951405455,1.2760,2.18620,2.4539e+03,0.331342,0.19337,31.44,0.0482,1133.0,388.71,5.420000,117.20,6046.00,4.539,0.8690
CONFIRMED,23.653694150,0.0080,8.21830,3.3418e+03,0.052190,0.41907,7.89,0.1658,731.0,67.65,23.142000,266.30,5739.00,4.191,1.3840
CONFIRMED,13.233522140,0.0140,6.73720,5.0460e+02,0.020278,0.38840,3.06,0.1126,888.0,146.67,15.320000,49.10,5739.00,4.191,1.3840
